1,13/03/2021 12:00:00 AM,KẾ HOẠCH SẢN XUẤT,B0001,DHY 04.21 - POLO026-S21,DHY 364-5MP 0870/037,PIQUE CO20,-,-,,,10,"0,0",Kiểm Tra Phần mềm
2,07/03/2021 12:00:00 AM,KHO MỘC,PLKT0001,BOO 05.21,BOO 370-5MR 1172/057,RIB 1X1 COP26 ECO+E20,xanh đỏ,1244,c0001,NHUỘM R,100,"0,0",Loang Màu
