-,CÔNG ĐOẠN:  - 283 MẺ,,,,,,,,,,,,,,,,,,,
24,HDG 03.21,HDG 416 - 5MS 0836/004,CANIFA,SINGLE COP30 ECO,21.04.03.W1,WHITE 001-SW001 11-0601TCX,185,160,1V013,,,,9,"181,10","0,00",117080,,,,
25,HDG 03.21,HDG 416 - 5MS 0836/004,CANIFA,SINGLE COP30 ECO,21.04.03.W1,WHITE 001-SW001 11-0601TCX,185,160,1V014,,,,9,"181,90","0,00",117080,,,,
26,HDG 03.21,HDG 416 - 5MS 0836/004,CANIFA,SINGLE COP30 ECO,21.04.03.W1,WHITE 001-SW001 11-0601TCX,185,160,1V015,,,,9,"179,70","0,00",117080,,,,
27,HDG 03.21,HDG 416 - 5MS 0836/004,CANIFA,SINGLE COP30 ECO,21.04.03.W1,WHITE 001-SW001 11-0601TCX,185,160,1V016,,,,9,"181,50","0,00",117080,,,,
28,HDG 03.21,HDG 416 - 5MS 0836/004,CANIFA,SINGLE COP30 ECO,21.04.03.W1,WHITE 001-SW001 11-0601TCX,185,160,1V017,,,,9,"180,50","0,00",117080,,,,
29,HDG 03.21,HDG 416 - 5MS 0836/004,CANIFA,SINGLE COP30 ECO,21.04.03.W1,WHITE 001-SW001 11-0601TCX,185,160,1V018,,,,9,"182,30","0,00",117080,,,,
30,HDG 03.21,HDG 416 - 5MS 0836/004,CANIFA,SINGLE COP30 ECO,21.04.03.W1,WHITE 001-SW001 11-0601TCX,185,160,1V019,,,,9,"182,10","0,00",117080,,,,
31,HGG 02.21 - TSHW09+11+16+18,HGG 382 - 5MR 1172/074,HOÀNG GIA,RIB 1X1 COP26 + E20,21.04.10.T1,BRIGHT WHITE SO 21.03.08.W2,170,270,1W545,,,,1,"12,10","0,00",128703,,Mẻ cũ 1X145 bị ố vàng hết mẻ,,
32,HGG 06.21,HGG 398 - 5MS 0836/002,HOÀNG GIA,SINGLE COP30 ECO,21.04.17.L1.1,XANH NGỌC ĐẬM SO 20.11.30.C1,185,160,1W596,,,,8,"160,40","0,00",117080,,,,
33,HGG 09.21,HGG 422 - 5MS 0836/004,HOÀNG GIA,SINGLE COP30 ECO,,,185,160,1V060,,,,8,"162,20","0,00",117080,,,,
34,HGG 09.21,HGG 422 - 5MS 0836/004,HOÀNG GIA,SINGLE COP30 ECO,,,185,160,1V058,,,,9,"171,70","0,00",117080,,,,
35,HGG 09.21,HGG 422 - 5MS 0836/004,HOÀNG GIA,SINGLE COP30 ECO,,,185,160,1V061,,,,8,"160,80","0,00",117080,,,,
36,HGG 09.21,HGG 422 - 5MS 0836/004,HOÀNG GIA,SINGLE COP30 ECO,,,185,160,1V059,,,,9,"172,10","0,00",117080,,,,
37,HGG 09.21,HGG 422 - 5MS 0836/004,HOÀNG GIA,SINGLE COP30 ECO,,,185,160,1V056,,,,8,"162,00","0,00",117080,,,,
38,HGG 09.21,HGG 422 - 5MS 0836/004,HOÀNG GIA,SINGLE COP30 ECO,,,185,160,1V057,,,,8,"161,70","0,00",117080,,,,
39,HGG 09.21,HGG 422 - 5MS 0836/004,HOÀNG GIA,SINGLE COP30 ECO,,,185,160,1V041,,,,10,"201,10","0,00",117080,,,,
40,HGG 09.21,HGG 422 - 5MS 0836/004,HOÀNG GIA,SINGLE COP30 ECO,,,185,160,1V042,,,,9,"183,60","0,00",117080,,,,
41,HGG 09.21,HGG 422 - 5MS 0836/004,HOÀNG GIA,SINGLE COP30 ECO,,,185,160,1V040,,,,10,"200,40","0,00",117080,,,,
42,HGG 09.21,HGG 422 - 5MS 0836/004,HOÀNG GIA,SINGLE COP30 ECO,,,185,160,1V043,,,,9,"183,10","0,00",117080,,,,
43,HGG 09.21,HGG 422 - 5MS 0836/004,HOÀNG GIA,SINGLE COP30 ECO,,,185,160,1V044,,,,9,"182,50","0,00",117080,,,,
44,HGG 09.21,HGG 422 - 5MS 0836/004,HOÀNG GIA,SINGLE COP30 ECO,,,185,160,1V045,,,,9,"182,40","0,00",117080,,,,
45,HGG 09.21,HGG 422 - 5MS 0836/004,HOÀNG GIA,SINGLE COP30 ECO,,,185,160,1V051,,,,8,"161,10","0,00",117080,,,,
46,HGG 09.21,HGG 422 - 5MS 0836/004,HOÀNG GIA,SINGLE COP30 ECO,,,185,160,1V052,,,,8,"162,00","0,00",117080,,,,
47,HGG 09.21,HGG 422 - 5MS 0836/004,HOÀNG GIA,SINGLE COP30 ECO,,,185,160,1V053,,,,8,"162,20","0,00",117080,,,,
48,HGG 09.21,HGG 422 - 5MS 0836/004,HOÀNG GIA,SINGLE COP30 ECO,,,185,160,1V054,,,,8,"160,40","0,00",117080,,,,
49,HGG 09.21,HGG 422 - 5MS 0836/004,HOÀNG GIA,SINGLE COP30 ECO,,,185,160,1V055,,,,8,"163,10","0,00",117080,,,,
50,HGG 09.21,HGG 422 - 5MS 0836/004,HOÀNG GIA,SINGLE COP30 ECO,,,185,160,1V046,,,,7,"142,20","0,00",117080,,,,
51,HGG 09.21,HGG 422 - 5MS 0836/004,HOÀNG GIA,SINGLE COP30 ECO,,,185,160,1V047,,,,8,"150,70","0,00",117080,,,,
52,HGG 09.21,HGG 422 - 5MS 0836/004,HOÀNG GIA,SINGLE COP30 ECO,,,185,160,1V048,,,,9,"174,70","0,00",117080,,,,
53,HGG 09.21,HGG 422 - 5MS 0836/004,HOÀNG GIA,SINGLE COP30 ECO,,,185,160,1V049,,,,9,"174,30","0,00",117080,,,,
54,HGG 09.21,HGG 422 - 5MS 0836/004,HOÀNG GIA,SINGLE COP30 ECO,,,185,160,1V050,,,,8,"161,50","0,00",117080,,,,
55,HGG 09.21,HGG 422 - 5MS 0836/004,HOÀNG GIA,SINGLE COP30 ECO,21.04.03.W1,WHITE 001-SW001 11-0601TCX,185,160,1V036,,,,8,"151,80","0,00",117080,,,,
56,HGG 09.21,HGG 422 - 5MS 0836/004,HOÀNG GIA,SINGLE COP30 ECO,21.04.03.W1,WHITE 001-SW001 11-0601TCX,185,160,1V037,,,,8,"152,60","0,00",117080,,,,
57,HGG 09.21,HGG 422 - 5MS 0836/004,HOÀNG GIA,SINGLE COP30 ECO,21.04.03.W1,WHITE 001-SW001 11-0601TCX,185,160,1V038,,,,8,"151,90","0,00",117080,,,,
58,HGG 09.21,HGG 422 - 5MS 0836/004,HOÀNG GIA,SINGLE COP30 ECO,21.04.03.W1,WHITE 001-SW001 11-0601TCX,185,160,1V039,,,,8,"151,00","0,00",117080,,,,
59,KVG 01.21 - KVG 217,KVG 420 - 5MP 0001/002,K&G,PIQUE CVC40 + E30,,,190,220,1V098,,,,10,"199,50","0,00",0,,,,
60,KVG 01.21 - KVG 217,KVG 420 - 5MP 0001/002,K&G,PIQUE CVC40 + E30,,,190,220,1V096,,,,10,"191,60","0,00",0,,,,
61,KVG 01.21 - KVG 217,KVG 420 - 5MP 0001/002,K&G,PIQUE CVC40 + E30,,,190,220,1V097,,,,10,"191,40","0,00",0,,,,
62,KVG 01.21 - KVG 217,KVG 420 - 5MP 0001/002,K&G,PIQUE CVC40 + E30,,,190,220,1V101,,,,10,"199,90","0,00",0,,,,
63,KVG 01.21 - KVG 217,KVG 420 - 5MP 0001/002,K&G,PIQUE CVC40 + E30,,,190,220,1V089,,,,10,"204,30","0,00",0,,,,
64,KVG 01.21 - KVG 217,KVG 420 - 5MP 0001/002,K&G,PIQUE CVC40 + E30,,,190,220,1V091,,,,10,"189,90","0,00",0,,,,
65,KVG 01.21 - KVG 217,KVG 420 - 5MP 0001/002,K&G,PIQUE CVC40 + E30,,,190,220,1V099,,,,9,"181,00","0,00",0,,,,
66,KVG 01.21 - KVG 217,KVG 420 - 5MP 0001/002,K&G,PIQUE CVC40 + E30,,,190,220,1V100,,,,9,"181,80","0,00",0,,,,
67,KVG 01.21 - KVG 217,KVG 420 - 5MP 0001/002,K&G,PIQUE CVC40 + E30,,,190,220,1V103,,,,10,"190,40","0,00",0,,,,
68,KVG 01.21 - KVG 217,KVG 420 - 5MP 0001/002,K&G,PIQUE CVC40 + E30,,,190,220,1V102,,,,10,"204,30","0,00",0,,,,
69,KVG 02.21 - KVG 229,KVG 421 - 5MR 2003/003,K&G,RIB 1X1 CVC40 + E20,,,160,230,1V123,,,,2,"26,70","0,00",0,,,,
70,KVG 02.21 - KVG 229,KVG 421 - 5MR 2003/003,K&G,RIB 1X1 CVC40 + E20,,,160,230,1V124,,,,2,"26,00","0,00",0,,,,
71,KVG 02.21 - KVG 229,KVG 421 - 5MR 2003/003,K&G,RIB 1X1 CVC40 + E20,,,160,230,1V126,,,,2,"25,70","0,00",0,,,,
72,KVG 02.21 - KVG 229,KVG 421 - 5MR 2003/003,K&G,RIB 1X1 CVC40 + E20,,,160,230,1V127,,,,2,"26,10","0,00",0,,,,
73,KVG 02.21 - KVG 229,KVG 421 - 5MR 2003/003,K&G,RIB 1X1 CVC40 + E20,,,160,230,1V128,,,,2,"26,10","0,00",0,,,,
74,KVG 02.21 - KVG 229,KVG 421 - 5MR 2003/003,K&G,RIB 1X1 CVC40 + E20,,,160,230,1V125,,,,2,"25,90","0,00",0,,,,
75,KVG 02.21 - KVG 229,KVG 421 - 5MR 2003/003,K&G,RIB 1X1 CVC40 + E20,,,160,230,1V131,,,,2,"25,70","0,00",0,,,,
